0.000: 2.9703  / 3.099
0.114: 2.84204  / 2.9531
0.115: 2.8436  / 2.9553
0.116: 2.84358  / 2.9495
0.117: 2.8450801  / 2.9538
0.118: 2.83358  / 2.9471
0.119: 2.83758  / 2.9515
0.120: 2.83966  / 2.9364
0.121: 2.83466  / 2.9554
0.122: 2.83552  / 2.9488
0.123: 2.83484  / 2.944
0.124: 2.8315  / 2.9543
0.125: 2.8359  / 2.9402
0.126: 2.8325  / 2.9401
0.127: 2.83316  / 2.9282
0.128: 2.82924  / 2.9441
0.129: 2.82316  / 2.932
0.130: 2.82448  / 2.9276
0.131: 2.8266199  / 2.9375
0.132: 2.8227801  / 2.9312
0.133: 2.82456  / 2.9298
0.134: 2.8220801  / 2.9295
0.135: 2.82054  / 2.9308
0.136: 2.81632  / 2.9252
0.137: 2.8188  / 2.9316
0.138: 2.8173401  / 2.9293
0.139: 2.81406  / 2.9273
0.140: 2.81086  / 2.9232
0.141: 2.81038  / 2.9233
0.142: 2.8107  / 2.9264
0.143: 2.81002  / 2.919
0.144: 2.8055801  / 2.9079
0.145: 2.8083599  / 2.9154
0.146: 2.8047  / 2.92
0.147: 2.80898  / 2.9021
0.148: 2.80554  / 2.9173
0.149: 2.80314  / 2.9086
0.150: 2.8041  / 2.895
0.151: 2.7983801  / 2.9093
0.152: 2.79748  / 2.9001
0.153: 2.80392  / 2.8924
0.154: 2.79344  / 2.898
0.155: 2.79458  / 2.8947
0.156: 2.79394  / 2.906
0.157: 2.79604  / 2.8984
0.158: 2.79306  / 2.8874
0.159: 2.79218  / 2.8882
0.160: 2.79036  / 2.8995
0.161: 2.7832  / 2.9004
0.162: 2.78198  / 2.8906
0.163: 2.78394  / 2.8882
0.164: 2.7797198  / 2.8874
0.165: 2.78102  / 2.8893
0.166: 2.7811599  / 2.8974
0.167: 2.77728  / 2.8819
0.168: 2.77268  / 2.8727
0.169: 2.77506  / 2.8763
0.170: 2.76654  / 2.882
0.171: 2.7804801  / 2.8908
0.172: 2.7698  / 2.8752
0.173: 2.77174  / 2.8788
0.174: 2.76808  / 2.8644
0.175: 2.769  / 2.859
0.176: 2.76892  / 2.8707
0.177: 2.7659  / 2.8785
0.178: 2.76914  / 2.8609
0.179: 2.7674801  / 2.8662
0.180: 2.7630801  / 2.8483
0.181: 2.7660801  / 2.8557
0.182: 2.7662199  / 2.8679
0.183: 2.76302  / 2.8719
0.184: 2.75884  / 2.8604
0.185: 2.7561  / 2.8585
0.186: 2.75594  / 2.8583
0.187: 2.7516198  / 2.8501
0.188: 2.74604  / 2.8549
0.189: 2.75234  / 2.856
0.190: 2.7518198  / 2.8381
0.191: 2.74734  / 2.8378
0.192: 2.74406  / 2.8383
0.193: 2.74498  / 2.8574
0.194: 2.7400599  / 2.8506
0.195: 2.73842  / 2.8313
0.196: 2.74138  / 2.8459
0.197: 2.74116  / 2.8218
0.198: 2.7388  / 2.8384
0.199: 2.73318  / 2.8201
0.200: 2.73528  / 2.8362
0.201: 2.7314  / 2.8379
0.202: 2.72752  / 2.8176
0.203: 2.72738  / 2.8367
0.204: 2.73086  / 2.82
0.205: 2.7273  / 2.8239
0.206: 2.73268  / 2.8195
0.207: 2.71822  / 2.8254
0.208: 2.72014  / 2.8216
0.209: 2.71984  / 2.8087
0.210: 2.72116  / 2.8092
0.211: 2.71508  / 2.8098
0.212: 2.7160199  / 2.7912
0.213: 2.7147  / 2.8102
0.214: 2.71214  / 2.8055
0.215: 2.71256  / 2.8061
0.216: 2.71188  / 2.7998
0.217: 2.7122  / 2.8094
0.218: 2.70948  / 2.8017
0.219: 2.70684  / 2.8035
0.220: 2.71222  / 2.8105
0.221: 2.7002401  / 2.7915
0.222: 2.7060401  / 2.7993
0.223: 2.70406  / 2.7931
0.224: 2.7046  / 2.7927
0.225: 2.70138  / 2.7898
0.226: 2.69896  / 2.8126
0.227: 2.70102  / 2.7965
0.228: 2.69386  / 2.7828
0.229: 2.6913  / 2.7817
0.230: 2.6944401  / 2.7929
0.231: 2.69174  / 2.7977
0.232: 2.6901  / 2.7793
0.233: 2.68774  / 2.7654
0.234: 2.68484  / 2.7788
0.235: 2.68206  / 2.7577
0.236: 2.6867  / 2.7834
0.237: 2.6832  / 2.7723
0.238: 2.67506  / 2.7772
0.239: 2.6847599  / 2.7731
0.240: 2.6765401  / 2.7755
0.241: 2.68238  / 2.7703
0.242: 2.6758  / 2.7634
0.243: 2.6751  / 2.7667
0.244: 2.67624  / 2.7661
0.245: 2.67152  / 2.7788
0.246: 2.6685  / 2.74
0.247: 2.6732  / 2.7657
0.248: 2.66804  / 2.7537
0.249: 2.67012  / 2.7426
0.250: 2.6667  / 2.7433
0.251: 2.65804  / 2.7528
0.252: 2.6577802  / 2.7436
0.253: 2.65502  / 2.7519
0.254: 2.66242  / 2.7389
0.255: 2.65876  / 2.7443
0.256: 2.6563802  / 2.7372
0.257: 2.6512802  / 2.7422
0.258: 2.64862  / 2.7397
0.259: 2.64832  / 2.7307
0.260: 2.65012  / 2.7374
0.261: 2.64578  / 2.7317
0.262: 2.64686  / 2.7365
0.263: 2.64524  / 2.7329
0.264: 2.63866  / 2.7138
0.265: 2.64496  / 2.729
0.266: 2.63748  / 2.7191
0.267: 2.6424198  / 2.7319
0.268: 2.6389198  / 2.737
0.269: 2.63706  / 2.7121
0.270: 2.62868  / 2.7195
0.271: 2.63254  / 2.7135
0.272: 2.63196  / 2.7071
0.273: 2.6307  / 2.7174
0.274: 2.6273  / 2.7172
0.275: 2.62284  / 2.7083
0.276: 2.62376  / 2.6932
0.277: 2.6164  / 2.7119
0.278: 2.6227  / 2.7001
0.279: 2.61634  / 2.7063
0.280: 2.62136  / 2.6964
0.281: 2.61622  / 2.7122
0.282: 2.616  / 2.709
0.283: 2.61148  / 2.6852
0.284: 2.6148  / 2.7101
0.285: 2.61254  / 2.6864
0.286: 2.60882  / 2.6994
0.287: 2.60608  / 2.6816
0.288: 2.60184  / 2.6874
0.289: 2.60286  / 2.6939
0.290: 2.6068401  / 2.6892
0.291: 2.5979  / 2.6777
0.292: 2.59772  / 2.6902
0.293: 2.60218  / 2.6899
0.294: 2.59322  / 2.6762
0.295: 2.5916  / 2.6743
0.296: 2.59952  / 2.6778
0.297: 2.5964  / 2.6781
0.298: 2.58616  / 2.679
0.299: 2.5851  / 2.6659
0.300: 2.5885198  / 2.6763
0.301: 2.57628  / 2.6574
0.302: 2.5852802  / 2.6544
0.303: 2.5846  / 2.6721
0.304: 2.58492  / 2.647
0.305: 2.57586  / 2.6438
0.306: 2.5792198  / 2.6471
0.307: 2.57706  / 2.6631
0.308: 2.5734  / 2.6585
0.309: 2.5766401  / 2.6579
0.310: 2.5731  / 2.6669
0.311: 2.57076  / 2.6552
0.312: 2.55984  / 2.6298
0.313: 2.56382  / 2.6616
0.314: 2.5699801  / 2.644
0.315: 2.56742  / 2.6574
0.316: 2.56034  / 2.6315
0.317: 2.56248  / 2.6386
0.318: 2.5587401  / 2.6305
0.319: 2.55134  / 2.6287
0.320: 2.55464  / 2.6406
0.321: 2.5597801  / 2.6357
0.322: 2.54756  / 2.624
0.323: 2.54656  / 2.6345
0.324: 2.5557802  / 2.642
0.325: 2.54888  / 2.6208
0.326: 2.5453  / 2.6224
0.327: 2.5485  / 2.6216
0.328: 2.5422401  / 2.635
0.329: 2.54282  / 2.6358
0.330: 2.53646  / 2.6219
0.331: 2.53862  / 2.6094
0.332: 2.53474  / 2.6102
0.333: 2.53384  / 2.6157
0.334: 2.53384  / 2.6113
0.335: 2.53864  / 2.6032
0.336: 2.5288801  / 2.5844
0.337: 2.52778  / 2.5876
0.338: 2.5285199  / 2.6072
0.339: 2.5209801  / 2.5876
0.340: 2.52674  / 2.6015
0.341: 2.5241  / 2.6034
0.342: 2.51404  / 2.5975
0.343: 2.5187  / 2.5869
0.344: 2.51704  / 2.5863
0.345: 2.50858  / 2.5812
0.346: 2.5097  / 2.5748
0.347: 2.51572  / 2.5979
0.348: 2.50686  / 2.5847
0.349: 2.5113199  / 2.5933
0.350: 2.5102801  / 2.5693
0.351: 2.4995198  / 2.5743
0.352: 2.50324  / 2.5679
0.353: 2.50002  / 2.5674
0.354: 2.50012  / 2.572
0.355: 2.49324  / 2.5633
0.356: 2.50406  / 2.5674
0.357: 2.50734  / 2.5705
0.358: 2.48948  / 2.5565
0.359: 2.48918  / 2.5576
0.360: 2.48754  / 2.5469
0.361: 2.48854  / 2.5715
0.362: 2.48928  / 2.5524
0.363: 2.4825401  / 2.559
0.364: 2.4902198  / 2.577
0.365: 2.47548  / 2.5594
0.366: 2.4807  / 2.5445
0.367: 2.47316  / 2.553
0.368: 2.4860198  / 2.5522
0.369: 2.47318  / 2.534
0.370: 2.4748  / 2.5539
0.371: 2.4772  / 2.5391
0.372: 2.46954  / 2.5518
0.373: 2.46754  / 2.523
0.374: 2.46554  / 2.5458
0.375: 2.4689  / 2.5314
0.376: 2.45764  / 2.546
0.377: 2.45462  / 2.5252
0.378: 2.4538  / 2.5186
0.379: 2.4567802  / 2.5265
0.380: 2.4527  / 2.5067
0.381: 2.4516  / 2.5259
0.382: 2.45414  / 2.5308
0.383: 2.44538  / 2.5083
0.384: 2.4405801  / 2.5111
0.385: 2.44208  / 2.523
0.386: 2.4419  / 2.5245
0.387: 2.44156  / 2.4988
0.388: 2.44324  / 2.5045
0.389: 2.4340198  / 2.4935
0.390: 2.4384801  / 2.5236
0.391: 2.43118  / 2.5064
0.392: 2.4295  / 2.4954
0.393: 2.4256198  / 2.4793
0.394: 2.42878  / 2.4963
0.395: 2.42992  / 2.4866
0.396: 2.42774  / 2.5028
0.397: 2.42804  / 2.5044
0.398: 2.42602  / 2.4973
0.399: 2.42184  / 2.483
0.400: 2.4219599  / 2.5035
0.401: 2.418  / 2.4711
0.402: 2.4104  / 2.4818
0.403: 2.412  / 2.479
0.404: 2.41016  / 2.4764
0.405: 2.40158  / 2.4674
0.406: 2.4105198  / 2.467
0.407: 2.41512  / 2.4699
0.408: 2.4075198  / 2.4701
0.409: 2.40546  / 2.4742
0.410: 2.39554  / 2.4729
0.411: 2.39742  / 2.4465
0.412: 2.40196  / 2.458
0.413: 2.3977199  / 2.4673
0.414: 2.39832  / 2.4629
0.415: 2.38716  / 2.457
0.416: 2.3904  / 2.4628
0.417: 2.3924599  / 2.4582
0.418: 2.39064  / 2.4421
0.419: 2.39136  / 2.4629
0.420: 2.37776  / 2.4282
0.421: 2.3874  / 2.4399
0.422: 2.3819  / 2.459
0.423: 2.37532  / 2.4473
0.424: 2.3805802  / 2.4518
0.425: 2.3791  / 2.4477
0.426: 2.37244  / 2.4354
0.427: 2.3731  / 2.4416
0.428: 2.36726  / 2.4288
0.429: 2.37144  / 2.4232
0.430: 2.3747802  / 2.4129
0.431: 2.3647401  / 2.4324
0.432: 2.36046  / 2.4144
0.433: 2.3580801  / 2.4217
0.434: 2.3594  / 2.4209
0.435: 2.35336  / 2.4246
0.436: 2.35138  / 2.4143
0.437: 2.35326  / 2.4157
0.438: 2.3598402  / 2.419
0.439: 2.34334  / 2.4029
0.440: 2.3454  / 2.4132
0.441: 2.34466  / 2.4121
0.442: 2.34494  / 2.4016
0.443: 2.3408802  / 2.4195
0.444: 2.3406  / 2.4151
0.445: 2.33126  / 2.4058
0.446: 2.33952  / 2.4106
0.447: 2.3294802  / 2.3943
0.448: 2.3297  / 2.3699
0.449: 2.32694  / 2.3859
0.450: 2.3231199  / 2.3737
0.451: 2.32936  / 2.3955
0.452: 2.32288  / 2.386
0.453: 2.32176  / 2.3675
0.454: 2.31982  / 2.398
0.455: 2.3141  / 2.3864
0.456: 2.31778  / 2.3698
0.457: 2.31984  / 2.3657
0.458: 2.31056  / 2.3774
0.459: 2.3036  / 2.355
0.460: 2.3108401  / 2.3767
0.461: 2.3015199  / 2.371
0.462: 2.30436  / 2.3624
0.463: 2.30252  / 2.3623
0.464: 2.2962599  / 2.352
0.465: 2.30024  / 2.3417
0.466: 2.2896  / 2.3569
0.467: 2.3022401  / 2.3735
0.468: 2.29136  / 2.3478
0.469: 2.2935  / 2.332
0.470: 2.29072  / 2.3483
0.471: 2.2885  / 2.3605
0.472: 2.28378  / 2.3467
0.473: 2.27938  / 2.3427
0.474: 2.28566  / 2.3433
0.475: 2.283  / 2.3377
0.476: 2.2848198  / 2.3381
0.477: 2.2778401  / 2.3224
0.478: 2.27686  / 2.3476
0.479: 2.27108  / 2.3218
0.480: 2.27176  / 2.3423
0.481: 2.2687  / 2.3401
0.482: 2.26674  / 2.3225
0.483: 2.2646801  / 2.3328
0.484: 2.2704802  / 2.3247
0.485: 2.25946  / 2.3339
0.486: 2.25652  / 2.3038
0.487: 2.25452  / 2.3099
0.488: 2.25574  / 2.3228
0.489: 2.24352  / 2.3218
0.490: 2.25464  / 2.3252
0.491: 2.24406  / 2.3007
0.492: 2.2613  / 2.2978
0.493: 2.24816  / 2.2948
0.494: 2.24352  / 2.29
0.495: 2.24052  / 2.3045
0.496: 2.24416  / 2.3122
0.497: 2.2411401  / 2.2851
0.498: 2.237  / 2.2877
0.499: 2.2379801  / 2.3061
0.500: 2.2382  / 2.2904
0.501: 2.2238  / 2.2788
0.502: 2.22404  / 2.2784
0.503: 2.22524  / 2.2737
0.504: 2.21708  / 2.2722
0.505: 2.2222  / 2.2791
0.506: 2.21558  / 2.2631
0.507: 2.21506  / 2.2702
0.508: 2.21688  / 2.2686
0.509: 2.22102  / 2.2778
0.510: 2.2083  / 2.2575
0.511: 2.21916  / 2.2727
0.512: 2.2088  / 2.2535
0.513: 2.204  / 2.2596
0.514: 2.20922  / 2.261
0.515: 2.19902  / 2.2527
0.516: 2.20118  / 2.2566
0.517: 2.19036  / 2.2398
0.518: 2.19  / 2.2389
0.519: 2.19764  / 2.2374
0.520: 2.2002199  / 2.2571
0.521: 2.1926599  / 2.2427
0.522: 2.18788  / 2.2347
0.523: 2.18786  / 2.237
0.524: 2.18294  / 2.2328
0.525: 2.17636  / 2.2198
0.526: 2.18526  / 2.2341
0.527: 2.1733  / 2.2289
0.528: 2.16974  / 2.2289
0.529: 2.17574  / 2.2199
0.530: 2.16976  / 2.2051
0.531: 2.1704  / 2.2239
0.532: 2.1685  / 2.2283
0.533: 2.1679199  / 2.2169
0.534: 2.1651402  / 2.213
0.535: 2.15904  / 2.2221
0.536: 2.1607199  / 2.217
0.537: 2.15116  / 2.2021
0.538: 2.15464  / 2.218
0.539: 2.15252  / 2.2026
0.540: 2.15522  / 2.2147
0.541: 2.15272  / 2.1965
0.542: 2.14348  / 2.1744
0.543: 2.14404  / 2.1971
0.544: 2.1417801  / 2.1983
0.545: 2.13686  / 2.183
0.546: 2.14346  / 2.2
0.547: 2.13144  / 2.1858
0.548: 2.13566  / 2.1668
0.549: 2.12614  / 2.1685
0.550: 2.1252599  / 2.1722
0.551: 2.12284  / 2.1773
0.552: 2.1212401  / 2.1737
0.553: 2.1233  / 2.1663
0.554: 2.12188  / 2.1857
0.555: 2.1208599  / 2.1715
0.556: 2.1169  / 2.1686
0.557: 2.12106  / 2.1629
0.558: 2.1101801  / 2.1471
0.559: 2.1068401  / 2.1616
0.560: 2.11638  / 2.1677
0.561: 2.10378  / 2.1622
0.562: 2.1107  / 2.1488
0.563: 2.10422  / 2.1614
0.564: 2.09768  / 2.131
0.565: 2.1031199  / 2.1466
0.566: 2.0963  / 2.1546
0.567: 2.0956  / 2.1441
0.568: 2.09518  / 2.1433
0.569: 2.09394  / 2.145
0.570: 2.08956  / 2.1309
0.571: 2.08882  / 2.1224
0.572: 2.08516  / 2.1198
0.573: 2.08494  / 2.1346
0.574: 2.0743  / 2.106
0.575: 2.08676  / 2.134
0.576: 2.06982  / 2.1179
0.577: 2.0708401  / 2.1097
0.578: 2.07952  / 2.1355
0.579: 2.07476  / 2.109
0.580: 2.06756  / 2.0993
0.581: 2.0628  / 2.0933
0.582: 2.0564802  / 2.1012
0.583: 2.06744  / 2.1143
0.584: 2.0601  / 2.0969
0.585: 2.0550199  / 2.0929
0.586: 2.05828  / 2.1072
0.587: 2.0658  / 2.1079
0.588: 2.05002  / 2.1087
0.589: 2.05198  / 2.1108
0.590: 2.05806  / 2.0949
0.591: 2.04338  / 2.0928
0.592: 2.04498  / 2.0861
0.593: 2.04168  / 2.1109
0.594: 2.04542  / 2.0831
0.595: 2.02384  / 2.0658
0.596: 2.04518  / 2.0864
0.597: 2.0262802  / 2.0773
0.598: 2.0306199  / 2.0574
0.599: 2.0263  / 2.0772
0.600: 2.02458  / 2.0783
0.601: 2.0194  / 2.0727
0.602: 2.01988  / 2.0715
0.603: 2.0182  / 2.0531
0.604: 2.01964  / 2.0698
0.605: 2.0271199  / 2.0559
0.606: 2.0109599  / 2.0441
0.607: 2.0057  / 2.0656
0.608: 2.00922  / 2.048
0.609: 1.9992801  / 2.0493
0.610: 2.00782  / 2.0504
0.611: 1.9966199  / 2.0491
0.612: 1.99716  / 2.0318
0.613: 1.99394  / 2.0577
0.614: 1.9922401  / 2.0229
0.615: 1.99102  / 2.018
0.616: 1.9911801  / 2.0292
0.617: 1.9866401  / 2.0107
0.618: 1.9834801  / 2.0078
0.619: 1.9915801  / 2.0227
0.620: 1.9878199  / 2.0148
0.621: 1.98614  / 2.0303
0.622: 1.9776  / 2.0216
0.623: 1.9843199  / 2.0267
0.624: 1.9668801  / 2.0036
0.625: 1.9755  / 2.0076
0.626: 1.9703199  / 1.9867
0.627: 1.9722401  / 2.0214
0.628: 1.96302  / 2.0087
0.629: 1.96146  / 1.9867
0.630: 1.9617  / 2.0069
0.631: 1.9562801  / 1.9858
0.632: 1.9583199  / 1.9896
0.633: 1.95114  / 1.9976
0.634: 1.94652  / 1.9781
0.635: 1.9464  / 1.9933
0.636: 1.95044  / 1.9693
0.637: 1.9478  / 1.9953
0.638: 1.93724  / 1.9886
0.639: 1.9496199  / 2.0077
0.640: 1.9454801  / 1.9764
0.641: 1.9352  / 1.9668
0.642: 1.92566  / 1.9674
0.643: 1.92526  / 1.9624
0.644: 1.9323199  / 1.969
0.645: 1.92204  / 1.9694
0.646: 1.91414  / 1.9277
0.647: 1.92558  / 1.9831
0.648: 1.9158801  / 1.9646
0.649: 1.91204  / 1.9464
0.650: 1.91558  / 1.944
0.651: 1.9111  / 1.9594
0.652: 1.9041599  / 1.9463
0.653: 1.9074401  / 1.9556
0.654: 1.89714  / 1.9224
0.655: 1.8981  / 1.9414
0.656: 1.9038401  / 1.9593
0.657: 1.9095199  / 1.9448
0.658: 1.89  / 1.9186
0.659: 1.8963199  / 1.9158
0.660: 1.8985801  / 1.9418
0.661: 1.8989  / 1.9518
0.662: 1.8920199  / 1.9454
0.663: 1.88692  / 1.9249
0.664: 1.87956  / 1.9087
0.665: 1.8846401  / 1.8997
0.666: 1.8837199  / 1.9197
0.667: 1.8794401  / 1.9011
0.668: 1.8721  / 1.8883
0.669: 1.8722199  / 1.9069
0.670: 1.8657401  / 1.9174
0.671: 1.8659  / 1.9205
0.672: 1.86564  / 1.9041
0.673: 1.85366  / 1.8818
0.674: 1.8668599  / 1.9071
0.675: 1.84914  / 1.8749
0.676: 1.8519  / 1.8973
0.677: 1.84986  / 1.8582
0.678: 1.8483199  / 1.8657
0.679: 1.8371401  / 1.8832
0.680: 1.8467  / 1.898
0.681: 1.8422  / 1.8673
0.682: 1.84476  / 1.8643
0.683: 1.83776  / 1.8636
0.684: 1.8246199  / 1.8606
0.685: 1.8403199  / 1.8723
0.686: 1.82896  / 1.8702
0.687: 1.8281599  / 1.8655
0.688: 1.82744  / 1.8656
0.689: 1.8267801  / 1.8522
0.690: 1.8219801  / 1.8529
0.691: 1.8177  / 1.8534
0.692: 1.8181  / 1.8513
0.693: 1.82084  / 1.8531
0.694: 1.8129  / 1.8455
0.695: 1.8130801  / 1.839
0.696: 1.8073599  / 1.8428
0.697: 1.80734  / 1.8356
0.698: 1.8037801  / 1.8585
0.699: 1.8072199  / 1.8413
0.700: 1.8083401  / 1.8484
0.701: 1.7966  / 1.8287
0.702: 1.7918401  / 1.8118
0.703: 1.7914  / 1.8397
0.704: 1.79004  / 1.8304
0.705: 1.79412  / 1.8063
0.706: 1.7832  / 1.8279
0.707: 1.7863599  / 1.8036
0.708: 1.7743199  / 1.7981
0.709: 1.7673  / 1.8137
0.710: 1.7745401  / 1.7962
0.711: 1.7637  / 1.7987
0.712: 1.7644401  / 1.8054
0.713: 1.76828  / 1.8024
0.714: 1.76116  / 1.7895
0.715: 1.76822  / 1.7845
0.716: 1.75888  / 1.7785
0.717: 1.7556801  / 1.7699
0.718: 1.7513801  / 1.7864
0.719: 1.7583599  / 1.7907
0.720: 1.74496  / 1.7694
0.721: 1.74754  / 1.7936
0.722: 1.74124  / 1.7499
0.723: 1.7441801  / 1.7732
0.724: 1.7453  / 1.7718
0.725: 1.7462801  / 1.7842
0.726: 1.7400401  / 1.7723
0.727: 1.7345  / 1.7586
0.728: 1.72694  / 1.7499
0.729: 1.7313801  / 1.7667
0.730: 1.72104  / 1.7333
0.731: 1.7226801  / 1.7427
0.732: 1.7281599  / 1.7533
0.733: 1.7124  / 1.7449
0.734: 1.71518  / 1.7306
0.735: 1.7146  / 1.7462
0.736: 1.71232  / 1.7606
0.737: 1.7014401  / 1.7276
0.738: 1.7116599  / 1.7372
0.739: 1.70926  / 1.7402
0.740: 1.7032801  / 1.7257
0.741: 1.7110599  / 1.7294
0.742: 1.6891401  / 1.7262
0.743: 1.7004801  / 1.7428
0.744: 1.6889801  / 1.723
0.745: 1.69496  / 1.7316
0.746: 1.6830599  / 1.6966
0.747: 1.6961  / 1.713
0.748: 1.6846801  / 1.6982
0.749: 1.6823  / 1.7044
0.750: 1.68416  / 1.702
0.751: 1.67562  / 1.694
0.752: 1.6677  / 1.6991
0.753: 1.6785  / 1.6969
0.754: 1.6618  / 1.6633
0.755: 1.6617401  / 1.674
0.756: 1.6703801  / 1.6962
0.757: 1.65854  / 1.6813
0.758: 1.65542  / 1.7029
0.759: 1.6583  / 1.6795
0.760: 1.6614599  / 1.6968
0.761: 1.6544  / 1.6724
0.762: 1.6473199  / 1.6587
0.763: 1.6383  / 1.6789
0.764: 1.63764  / 1.6602
0.765: 1.63492  / 1.6678
0.766: 1.63876  / 1.6652
0.767: 1.63216  / 1.6432
0.768: 1.6428801  / 1.6679
0.769: 1.63628  / 1.6589
0.770: 1.6237  / 1.6487
0.771: 1.61798  / 1.6415
0.772: 1.6241599  / 1.6519
0.773: 1.61518  / 1.6296
0.774: 1.6181201  / 1.6429
0.775: 1.61348  / 1.6362
0.776: 1.6155  / 1.6305
0.777: 1.61872  / 1.6534
0.778: 1.61956  / 1.6726
0.779: 1.6052  / 1.6366
0.780: 1.6080401  / 1.6398
0.781: 1.60664  / 1.6381
0.782: 1.5964401  / 1.6224
0.783: 1.59414  / 1.6121
0.784: 1.58744  / 1.6122
0.785: 1.58904  / 1.603
0.786: 1.58178  / 1.6065
0.787: 1.5815  / 1.5883
0.788: 1.5871  / 1.6057
0.789: 1.57646  / 1.5786
0.790: 1.58042  / 1.5943
0.791: 1.57602  / 1.606
0.792: 1.58092  / 1.5841
0.793: 1.56684  / 1.5909
0.794: 1.56004  / 1.5766
0.795: 1.55732  / 1.5718
0.796: 1.55976  / 1.5406
0.797: 1.5576401  / 1.5845
0.798: 1.55548  / 1.5835
0.799: 1.55028  / 1.559
0.800: 1.55738  / 1.5672
0.801: 1.54222  / 1.5642
0.802: 1.54198  / 1.5738
0.803: 1.54542  / 1.5806
0.804: 1.53564  / 1.5615
0.805: 1.5355  / 1.5416
0.806: 1.53876  / 1.5528
0.807: 1.5306599  / 1.5462
0.808: 1.52736  / 1.5581
0.809: 1.53516  / 1.5428
0.810: 1.52992  / 1.5461
0.811: 1.5202401  / 1.5434
0.812: 1.5145401  / 1.531
0.813: 1.5137  / 1.5321
0.814: 1.5146401  / 1.5534
0.815: 1.51092  / 1.5436
